"word1","word2","word3","word4","freq"
"force","sundays","championship","showdown",3
"frank","lautenberg","robert","menendez",3
"freely","patients","guns","way",3
"freshman","year","high","school",3
"freshmancaveman","rep","jason","brodeur",3
"funny","musical","qualities","admires",3
"gajillion","tweets","suggesting","otherwise",3
"gashed","elbow","police","aid",3
"gkg","diet","g","basal",3
"got","five","minute","pursuit",3
"got","lonely","little","bit",3
"grade","freshman","year","high",3
"grams","protein","grams","carbohydrates",3
"growing","always","thought","much",3
"guns","way","household","dangers",3
"hall","can","reach","agreement",3
"handle","staffing","struggling","schools",3
"happy","mothers","day","mom",3
"happy","mothers","day","moms",3
"help","children","served","meals",3
"high","fructose","corn","syrup",3
"high","school","home","schooled",3
"hinted","may","see","need",3
"history","dramatic","centerpiece","day",3
"hits","scored","three","runs",3
"hits","scored","twice","drove",3
"home","schooled","tebow","curl",3
"hong","kongs","hang","seng",3
"hopefully","say","always","will",3
"household","dangers","chemicals","unguarded",3
"humor","charm","â","qualities",3
"î","î","î","î",3
"î³î","î","î","î",3
"iâ","m","equality","result",3
"iâ","m","even","going",3
"idea","march","ignited","controversy",3
"ignited","controversy","mayor","agreed",3
"ill","take","one","question",3
"ill","tell","tale","noble",3
"immigrants","record","arrested","minor",3
"income","inequality","america","always",3
"income","inequality","income","inequality",3
"indefinitely","cases","many","immigrants",3
"industrial","real","estate","projects",3
"inequality","america","always","hopefully",3
"inequality","income","inequality","america",3
"information","programs","directors","websites",3
"institute","technology","civil","environmental",3
"interesting","something","interesting","something",3
"isâ","subject","change","removal",3
"issued","last","week","leadership",3
"jackson","hinted","may","see",3
"jackson","planned","meet","easter",3
"jason","brodeur","wanted","make",3
"just","help","children","served",3
"just","wanted","let","know",3
"kind","man","thinks","might",3
"kind","nurturing","funny","musical",3
"knight","arrested","sunday","may",3
"kudos","states","statewide","smoking",3
"lactic","acid","buildup","allow",3
"last","week","leadership","council",3
"latest","series","economic","development",3
"lautenberg","robert","menendez","d",3
"leadership","council","southwestern","illinois",3
"least","wasnt","arrested","las",3
"letâ","s","just","say",3
"levels","success","based","contribute",3
"lincoln","park","pm","got",3
"linking","amazoncom","amazonca","amazoncouk",3
"llc","amazon","eu","associates",3
"llc","andor","amazon","eu",3
"logan","avenue","near","magenta",3
"lonely","little","bit","said",3
"losers","bracket","defeated","festus",3
"lost","percent","nasdaq","composite",3
"m","equality","result","comes",3
"magenta","street","driver","struck",3
"make","doctors","talk","freely",3
"man","thinks","might","kind",3
"many","charities","post","information",3
"many","immigrants","record","arrested",3
"march","ignited","controversy","mayor",3
"marked","amazing","comeback","brown",3
"matis","tä","vad","urukramä",3
"may","remember","freshmancaveman","rep",3
"may","see","need","disputed",3
"may","tupac","aka","pac",3
"maybe","iâ","ll","get",3
"mayor","agreed","put","referendum",3
"means","sites","earn","advertising",3
"mechanical","tyrannosaurus","rex","puppet",3
"meet","easter","sides","said",3
"meeting","pm","tonight","city",3
"member","town","council","first",3
"metro","east","billion","worth",3
"mgkg","diet","g","basal",3
"might","kind","nurturing","funny",3
"million","sales","thats","triple",3
"minor","traffic","violations","misdemeanors",3
"minute","pursuit","wound","west",3
"misdemeanors","pilot","program","way",3
"mogul","suge","knight","arrested",3
"mom","father","years","talked",3
"much","survived","earthquake","says",3
"musical","qualities","admires","george",3
"napolitano","said","dhs","delay",3
"near","magenta","street","driver",3
"nearly","million","sales","thats",3
"need","disputed","point","push",3
"negotiations","scratch","throwing","previous",3
"new","commercial","industrial","real",3
"next","secret","war","novel",3
"next","year","iâ","ll",3
